logMstar logphistar M1500 logphi1500 MB logphiB MJ logphiJ
3.83 0.76 -22.37 -3.96 -22.18 -3.95 -22.60 -4.05
4.50 0.62 -20.68 -3.01 -20.52 -2.94 -20.89 -3.04
5.17 0.33 -18.99 -2.42 -18.85 -2.37 -19.17 -2.36
5.84 -0.04 -17.30 -1.84 -17.18 -1.73 -17.45 -1.76
6.51 -0.47 -15.61 -1.14 -15.51 -1.05 -15.73 -1.08
7.18 -0.92 -13.92 -0.69 -13.84 -0.67 -14.01 -0.66
7.85 -1.62 -12.23 -0.38 -12.17 -0.22 -12.30 -0.20
8.52 -2.35 -10.54 -0.09 -10.50 0.11 -10.58 0.15
9.19 -2.55 -8.85 0.20 -8.83 0.42 -8.86 0.47
9.85 -4.02
