#ID  stellarM_bestfit  stellarM_median  stellarM_CL68min  stellarM_CL68max  EWhb_bestfit  EWhb_median  EWhb_CL68min  EWhb_CL68max  EWoiii4959_bestfit  EWoiii4959_median  EWoiii4959_CL68min  EWoiii4959_CL68max  EWoiii5007_bestfit  EWoiii5007_median  EWoiii5007_CL68min  EWoiii5007_CL68max
 2.0480e+04  1.184e+08  2.074e+08  7.907e+07  7.146e+08  2.087e+02  2.128e+02  1.114e+02  4.193e+02  4.019e+02  1.550e+02  1.071e+01  4.106e+02  1.249e+03  4.806e+02  3.293e+01  1.267e+03
 2.0481e+04  3.416e+08  3.575e+08  2.122e+08  6.593e+08  1.899e+02  2.087e+02  1.503e+02  3.562e+02  3.766e+02  3.805e+02  2.830e+02  5.005e+02  1.167e+03  1.177e+03  8.727e+02  1.548e+03
 2.0482e+04  4.018e+08  3.261e+08  2.537e+08  4.509e+08  2.542e+02  3.131e+02  2.167e+02  4.409e+02  7.601e+02  7.566e+02  5.701e+02  9.492e+02  2.363e+03  2.329e+03  1.752e+03  2.927e+03
 2.0483e+04  3.758e+09  1.585e+09  4.024e+08  3.313e+09  2.621e+01  1.299e+02  7.282e+01  3.211e+02  5.999e+01  9.541e+01  9.841e+00  2.415e+02  1.878e+02  2.963e+02  3.033e+01  7.484e+02
 2.0484e+04  1.076e+08  3.009e+08  1.227e+08  9.401e+08  5.170e+02  1.896e+02  1.074e+02  3.264e+02  6.103e+02  3.492e+02  1.975e+02  5.486e+02  1.872e+03  1.081e+03  6.139e+02  1.692e+03
 3.0368e+05  1.123e+09  1.294e+09  4.591e+08  2.278e+09  1.052e+02  1.104e+02  6.879e+01  2.184e+02  2.405e+02  2.117e+02  1.388e+02  3.315e+02  7.512e+02  6.580e+02  4.317e+02  1.026e+03
 3.0369e+05  8.262e+07  1.226e+08  7.493e+07  2.865e+08  2.342e+02  2.521e+02  1.494e+02  4.579e+02  5.090e+02  3.818e+02  2.196e+02  5.792e+02  1.543e+03  1.178e+03  6.798e+02  1.773e+03
 3.0369e+05  4.589e+07  8.623e+07  5.109e+07  2.273e+08  5.711e+02  2.943e+02  1.758e+02  5.375e+02  1.750e+01  1.669e+01  5.639e+00  9.682e+01  5.355e+01  5.124e+01  1.737e+01  2.976e+02
 3.0370e+05  2.367e+07  3.505e+07  2.417e+07  7.903e+07  5.005e+02  3.374e+02  2.119e+02  5.557e+02  8.366e+00  4.447e+01  6.990e+00  2.068e+02  2.565e+01  1.372e+02  2.154e+01  6.409e+02
 3.0370e+05  3.984e+07  5.257e+07  3.195e+07  1.347e+08  2.668e+02  2.861e+02  1.768e+02  5.185e+02  1.894e+02  4.454e+01  6.519e+00  1.808e+02  5.843e+02  1.377e+02  2.012e+01  5.569e+02
 3.0373e+05  8.829e+08  6.601e+08  2.049e+08  1.570e+09  1.500e+02  1.440e+02  7.852e+01  3.172e+02  3.190e+01  6.841e+01  4.736e+00  2.377e+02  9.922e+01  2.122e+02  1.470e+01  7.370e+02
 3.0376e+05  2.064e+07  2.735e+07  2.002e+07  5.802e+07  3.694e+02  3.518e+02  2.247e+02  5.743e+02  6.420e+00  1.386e+01  6.378e+00  8.361e+01  1.977e+01  4.249e+01  1.965e+01  2.561e+02
 3.0378e+05  3.994e+07  4.023e+07  2.339e+07  1.116e+08  2.377e+02  2.762e+02  1.680e+02  5.048e+02  5.654e+01  4.476e+01  6.331e+00  2.068e+02  1.748e+02  1.383e+02  1.952e+01  6.406e+02
 3.0379e+05  1.474e+09  8.312e+08  2.954e+08  1.436e+09  8.043e+01  1.264e+02  8.115e+01  2.517e+02  1.743e+00  2.108e+01  2.726e+00  1.141e+02  5.435e+00  6.537e+01  8.467e+00  3.539e+02
 3.0379e+05  2.180e+10  2.179e+10  2.074e+10  2.201e+10  5.337e+01  5.420e+01  5.319e+01  5.785e+01  9.805e+00  9.881e+00  1.304e+00  1.184e+01  3.070e+01  3.096e+01  4.087e+00  3.712e+01
 3.0381e+05  5.399e+07  9.405e+07  4.221e+07  2.874e+08  1.867e+02  2.440e+02  1.305e+02  4.677e+02  3.841e+02  1.134e+02  8.665e+00  3.643e+02  1.191e+03  3.499e+02  2.668e+01  1.125e+03
 3.0383e+05  3.924e+09  2.581e+09  1.725e+09  3.358e+09  5.914e+01  8.995e+01  6.099e+01  1.338e+02  1.250e+00  1.315e+01  1.787e+00  6.644e+01  3.906e+00  4.099e+01  5.548e+00  2.067e+02
 3.0384e+05  7.093e+08  5.303e+08  1.328e+08  1.181e+09  5.182e+01  1.366e+02  8.126e+01  2.941e+02  1.298e+02  1.244e+02  1.486e+01  2.947e+02  4.030e+02  3.861e+02  4.607e+01  9.109e+02
 3.0385e+05  3.995e+07  9.357e+07  4.736e+07  2.739e+08  5.711e+02  3.126e+02  1.701e+02  5.479e+02  1.750e+01  1.434e+01  5.348e+00  8.604e+01  5.355e+01  4.393e+01  1.653e+01  2.641e+02
 3.0385e+05  7.533e+07  1.136e+08  4.562e+07  3.587e+08  5.323e+02  2.487e+02  1.235e+02  4.886e+02  1.545e+01  9.915e+01  8.406e+00  3.603e+02  4.736e+01  3.058e+02  2.587e+01  1.113e+03
 3.0385e+05  2.531e+08  3.330e+08  1.597e+08  1.166e+09  5.950e+02  2.654e+02  1.248e+02  5.135e+02  1.148e+01  1.527e+01  4.549e+00  8.481e+01  3.506e+01  4.712e+01  1.407e+01  2.610e+02
 3.0385e+05  2.482e+07  3.551e+07  2.514e+07  7.904e+07  5.005e+02  3.409e+02  2.159e+02  5.584e+02  8.366e+00  4.274e+01  6.981e+00  1.915e+02  2.565e+01  1.314e+02  2.152e+01  5.921e+02
 3.0385e+05  5.317e+07  7.431e+07  3.235e+07  1.828e+08  2.967e+02  2.277e+02  1.380e+02  3.836e+02  2.847e+00  5.787e+01  5.099e+00  2.539e+02  8.754e+00  1.781e+02  1.578e+01  7.825e+02
 3.0386e+05  4.747e+07  8.954e+07  5.529e+07  2.333e+08  4.705e+02  3.327e+02  1.905e+02  5.589e+02  1.145e+01  1.238e+01  5.644e+00  7.011e+01  3.500e+01  3.800e+01  1.739e+01  2.159e+02
 3.0386e+05  6.040e+08  9.339e+08  3.779e+08  3.002e+09  5.710e+02  2.063e+02  8.110e+01  4.643e+02  2.214e+02  2.088e+02  1.143e+02  3.719e+02  6.768e+02  6.466e+02  3.550e+02  1.143e+03
 3.0386e+05  8.133e+07  1.094e+08  4.344e+07  3.638e+08  1.111e+02  2.112e+02  1.106e+02  4.150e+02  2.933e+02  1.754e+02  1.208e+01  4.288e+02  9.064e+02  5.429e+02  3.719e+01  1.323e+03
 3.0386e+05  7.948e+08  2.904e+08  7.233e+07  7.881e+08  7.834e+01  1.688e+02  8.865e+01  3.805e+02  7.351e+01  8.471e+01  6.605e+00  2.731e+02  2.283e+02  2.618e+02  2.040e+01  8.446e+02
 3.0386e+05  1.572e+08  2.160e+08  8.818e+07  6.087e+08  1.949e+02  2.225e+02  1.337e+02  3.573e+02  2.736e+02  6.585e+01  5.482e+00  2.681e+02  8.505e+02  2.036e+02  1.691e+01  8.283e+02
 3.0387e+05  5.848e+07  2.678e+08  7.629e+07  9.583e+08  2.905e+02  1.761e+02  9.156e+01  3.396e+02  6.041e+02  1.676e+02  1.610e+01  4.474e+02  1.868e+03  5.198e+02  4.993e+01  1.381e+03
 3.0387e+05  2.583e+08  3.155e+08  1.040e+08  9.411e+08  2.418e+02  1.926e+02  8.747e+01  4.364e+02  5.912e+00  5.346e+01  5.362e+00  1.985e+02  1.830e+01  1.653e+02  1.657e+01  6.154e+02
 3.0387e+05  1.133e+09  7.684e+08  1.875e+08  1.951e+09  1.404e+02  1.233e+02  6.954e+01  3.156e+02  1.507e+02  1.692e+02  5.181e+01  4.442e+02  4.696e+02  5.268e+02  1.611e+02  1.372e+03
