M1500, beta, ran_err, sys_err
-21.75,  -1.55,   0.17,    0.08 
-21.25,  -1.58,   0.10,    0.08 
-20.75,  -1.74,   0.10,    0.08 
-20.25,  -1.90,   0.09,    0.08 
-19.75,  -1.90,   0.13,    0.08 
-19.25,  -2.22,   0.18,    0.08 
-18.75,  -2.26,   0.14,    0.08 
-18.25,  -2.19,   0.22,    0.08 
-17.75,  -2.40,   0.30,    0.08 
-17.00,  -2.24,   0.20,    0.08 
