#ID  stellarM_bestfit  stellarM_median  stellarM_CL68min  stellarM_CL68max  EWhb_bestfit  EWhb_median  EWhb_CL68min  EWhb_CL68max  EWoiii4959_bestfit  EWoiii4959_median  EWoiii4959_CL68min  EWoiii4959_CL68max  EWoiii5007_bestfit  EWoiii5007_median  EWoiii5007_CL68min  EWoiii5007_CL68max
 2.0480e+04  1.187e+08  1.834e+08  7.057e+07  7.099e+08  2.087e+02  2.109e+02  1.098e+02  4.074e+02  4.019e+02  1.759e+02  1.381e+01  4.396e+02  1.249e+03  5.445e+02  4.246e+01  1.355e+03
 2.0481e+04  3.423e+08  3.555e+08  2.093e+08  6.642e+08  1.899e+02  2.076e+02  1.488e+02  3.496e+02  3.766e+02  3.848e+02  2.881e+02  5.062e+02  1.167e+03  1.191e+03  8.926e+02  1.563e+03
 2.0482e+04  3.293e+08  3.098e+08  2.376e+08  4.329e+08  3.392e+02  3.181e+02  2.347e+02  4.412e+02  9.105e+02  8.133e+02  5.879e+02  1.011e+03  2.830e+03  2.493e+03  1.802e+03  3.112e+03
 2.0483e+04  1.906e+09  1.453e+09  2.987e+08  3.132e+09  1.632e+02  1.489e+02  7.989e+01  3.713e+02  9.659e+01  1.178e+02  1.496e+01  3.036e+02  2.978e+02  3.650e+02  4.634e+01  9.357e+02
 2.0484e+04  1.055e+08  2.761e+08  1.134e+08  9.737e+08  5.846e+02  1.981e+02  1.065e+02  3.499e+02  6.544e+02  3.694e+02  1.965e+02  5.912e+02  2.040e+03  1.142e+03  6.100e+02  1.812e+03
 3.0368e+05  1.089e+09  1.377e+09  4.460e+08  2.293e+09  1.193e+02  1.149e+02  6.754e+01  2.239e+02  2.445e+02  2.186e+02  1.407e+02  3.586e+02  7.656e+02  6.789e+02  4.370e+02  1.106e+03
 3.0369e+05  1.171e+08  1.339e+08  7.373e+07  3.025e+08  1.846e+02  2.057e+02  1.279e+02  3.436e+02  4.543e+02  3.953e+02  2.612e+02  5.761e+02  1.403e+03  1.220e+03  8.095e+02  1.762e+03
 3.0369e+05  8.921e+07  8.129e+07  4.082e+07  2.235e+08  2.304e+02  2.702e+02  1.666e+02  4.644e+02  4.211e+00  1.869e+01  4.959e+00  1.219e+02  1.301e+01  5.749e+01  1.528e+01  3.747e+02
 3.0370e+05  2.845e+07  5.951e+07  2.906e+07  1.532e+08  4.650e+02  2.349e+02  1.432e+02  4.223e+02  4.521e+00  7.055e+01  5.624e+00  2.797e+02  1.382e+01  2.177e+02  1.732e+01  8.646e+02
 3.0373e+05  6.081e+08  4.669e+08  1.116e+08  1.408e+09  1.945e+02  1.797e+02  9.135e+01  4.000e+02  4.109e+01  6.650e+01  5.532e+00  2.403e+02  1.272e+02  2.053e+02  1.713e+01  7.431e+02
 3.0376e+05  2.763e+07  3.634e+07  1.922e+07  6.671e+07  2.862e+02  2.794e+02  1.899e+02  4.665e+02  5.025e+00  8.710e+00  4.824e+00  5.821e+01  1.549e+01  2.675e+01  1.491e+01  1.793e+02
 3.0378e+05  4.186e+07  4.262e+07  2.194e+07  1.145e+08  2.304e+02  2.361e+02  1.456e+02  3.962e+02  4.211e+00  5.171e+01  5.374e+00  2.569e+02  1.301e+01  1.595e+02  1.663e+01  7.905e+02
 3.0379e+05  4.441e+08  4.146e+08  1.196e+08  1.136e+09  1.865e+02  2.068e+02  1.021e+02  4.228e+02  3.755e+01  3.315e+01  4.467e+00  1.299e+02  1.163e+02  1.025e+02  1.382e+01  3.996e+02
 3.0379e+05  1.563e+10  1.517e+10  1.438e+10  1.569e+10  7.103e+01  7.534e+01  7.062e+01  9.061e+01  1.318e+01  1.581e+01  1.311e+01  2.342e+01  4.109e+01  4.932e+01  4.089e+01  7.269e+01
 3.0381e+05  8.706e+07  9.640e+07  3.982e+07  2.955e+08  1.504e+02  2.128e+02  1.177e+02  3.835e+02  3.095e+02  1.898e+02  1.423e+01  4.220e+02  9.641e+02  5.880e+02  4.364e+01  1.303e+03
 3.0383e+05  3.289e+09  1.861e+09  5.585e+08  2.966e+09  6.686e+01  1.387e+02  8.785e+01  2.994e+02  1.230e+01  2.241e+01  2.779e+00  8.358e+01  3.838e+01  6.947e+01  8.653e+00  2.582e+02
